date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:50	62341/62341	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202026%2019:19:49%20GMT	https://codeforces.com/problemset/problem/235/A	/home/peanut/Downloads/problemset_problem_235_A/codeforces.com/problemset/problem/235/A.html	(from )
15:19:51	1681/1681	---MCZ	200	added ('OK')	text/plain	date:Fri,%2003%20Jul%202026%2019:19:50%20GMT	https://codeforces.com/robots.txt		(from )
15:19:53	36344/36344	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:51%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin/400/normal.woff2	/home/peanut/Downloads/problemset_problem_235_A/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin/400/normal.woff2	(from https://codeforces.com/problemset/problem/235/A)
15:19:53	30632/30632	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:52%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic-ext/400/normal.woff2	/home/peanut/Downloads/problemset_problem_235_A/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic-ext/400/normal.woff2	(from https://codeforces.com/problemset/problem/235/A)
15:19:54	22764/22764	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:53%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin-ext/400/normal.woff2	/home/peanut/Downloads/problemset_problem_235_A/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin-ext/400/normal.woff2	(from https://codeforces.com/problemset/problem/235/A)
15:19:54	22208/22208	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:54%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic/400/normal.woff2	/home/peanut/Downloads/problemset_problem_235_A/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic/400/normal.woff2	(from https://codeforces.com/problemset/problem/235/A)
15:19:56	44960/44960	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:55%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic-ext/700/normal.woff2	/home/peanut/Downloads/problemset_problem_235_A/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic-ext/700/normal.woff2	(from https://codeforces.com/problemset/problem/235/A)
15:19:57	30964/30964	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:57%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin-ext/700/normal.woff2	/home/peanut/Downloads/problemset_problem_235_A/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin-ext/700/normal.woff2	(from https://codeforces.com/problemset/problem/235/A)
15:19:58	51384/51384	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:56%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin/700/normal.woff2	/home/peanut/Downloads/problemset_problem_235_A/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/latin/700/normal.woff2	(from https://codeforces.com/problemset/problem/235/A)
15:19:58	32640/32640	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20Jul%202026%2019:19:58%20GMT	https://codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic/700/normal.woff2	/home/peanut/Downloads/problemset_problem_235_A/codeforces.com/cf-fonts/s/pt-sans-narrow/5.2.8/cyrillic/700/normal.woff2	(from https://codeforces.com/problemset/problem/235/A)
